from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
52506,52506,PLK_KD_2026_926113794_LEG0,PLK_KD_2026_926113794_LEG1,1
52506,52506,PLK_KD_2026_291039469_LEG0,PLK_KD_2026_291039469_LEG1,1
52506,52506,PLK_KD_2026_459017381_LEG0,PLK_KD_2026_459017381_LEG1,1
52506,52506,PLK_KD_2026_507310685_LEG0,PLK_KD_2026_507310685_LEG1,1
52506,52506,PLK_KD_2026_336414180_LEG0,PLK_KD_2026_336414180_LEG1,1
52506,52506,PLK_KD_2026_336711134_LEG0,PLK_KD_2026_336711134_LEG1,1
52506,52506,PLK_KD_2026_179277726_LEG0,PLK_KD_2026_179277726_LEG1,1
52506,52506,PLK_KD_2026_954047314_LEG0,PLK_KD_2026_954047314_LEG1,1
52506,52506,PLK_KD_2026_233448214_LEG0,PLK_KD_2026_233448214_LEG1,1
52506,52506,PLK_KD_2026_909625207_LEG0,PLK_KD_2026_909625207_LEG1,1
52506,52506,PLK_KD_2026_592725012_LEG0,PLK_KD_2026_592725012_LEG1,1
52506,52506,PLK_KD_2026_816627557_LEG0,PLK_KD_2026_816627557_LEG1,1
52506,52506,PLK_KD_2026_179157624_LEG0,PLK_KD_2026_179157624_LEG1,1
5256,5256,PLK_IC_2026_233240405_LEG0,PLK_IC_2026_233240405_LEG1,1
5256,5256,PLK_IC_2026_326943870_LEG0,PLK_IC_2026_326943870_LEG1,1
5256,5256,PLK_IC_2026_862614715_LEG0,PLK_IC_2026_862614715_LEG1,1
5256,5256,PLK_IC_2026_482238809_LEG0,PLK_IC_2026_482238809_LEG1,1
5256,5256,PLK_IC_2026_595209842_LEG0,PLK_IC_2026_595209842_LEG1,1
5256,5256,PLK_IC_2026_734455796_LEG0,PLK_IC_2026_734455796_LEG1,1
5256,5256,PLK_IC_2026_418176130_LEG0,PLK_IC_2026_418176130_LEG1,1
5256,5256,PLK_IC_2026_715922290_LEG0,PLK_IC_2026_715922290_LEG1,1
5256,5256,PLK_IC_2026_305500211_LEG0,PLK_IC_2026_305500211_LEG1,1
5256,5256,PLK_IC_2026_739808906_LEG0,PLK_IC_2026_739808906_LEG1,1
5256,5256,PLK_IC_2026_935934350_LEG0,PLK_IC_2026_935934350_LEG1,1
5256,5256,PLK_IC_2026_553393908_LEG0,PLK_IC_2026_553393908_LEG1,1
5256,5256,PLK_IC_2026_863332652_LEG0,PLK_IC_2026_863332652_LEG1,1
5256,5256,PLK_IC_2026_335829606_LEG0,PLK_IC_2026_335829606_LEG1,1
5256,5256,PLK_IC_2026_129630904_LEG0,PLK_IC_2026_129630904_LEG1,1
5256,5256,PLK_IC_2026_318235960_LEG0,PLK_IC_2026_318235960_LEG1,1
5256,5256,PLK_IC_2026_909611491_LEG0,PLK_IC_2026_909611491_LEG1,1
5256,5256,PLK_IC_2026_321583242_LEG0,PLK_IC_2026_321583242_LEG1,1
5256,5256,PLK_IC_2026_383341051_LEG0,PLK_IC_2026_383341051_LEG1,1
5256,5256,PLK_IC_2026_603057952_LEG0,PLK_IC_2026_603057952_LEG1,1
5256,5256,PLK_IC_2026_637706931_LEG0,PLK_IC_2026_637706931_LEG1,1
5256,5256,PLK_IC_2026_381904274_LEG0,PLK_IC_2026_381904274_LEG1,1
5256,5256,PLK_IC_2026_855077218_LEG0,PLK_IC_2026_855077218_LEG1,1
5256,5256,PLK_IC_2026_141187939_LEG0,PLK_IC_2026_141187939_LEG1,1
5256,5256,PLK_IC_2026_204517896_LEG0,PLK_IC_2026_204517896_LEG1,1
5256,5256,PLK_IC_2026_202033180_LEG0,PLK_IC_2026_202033180_LEG1,1
5256,5256,PLK_IC_2026_769265720_LEG0,PLK_IC_2026_769265720_LEG1,1
5256,5256,PLK_IC_2026_905717497_LEG0,PLK_IC_2026_905717497_LEG1,1
5256,5256,PLK_IC_2026_315239306_LEG0,PLK_IC_2026_315239306_LEG1,1
5256,5256,PLK_IC_2026_476715645_LEG0,PLK_IC_2026_476715645_LEG1,1
5256,5256,PLK_IC_2026_840230041_LEG0,PLK_IC_2026_840230041_LEG1,1
5256,5256,PLK_IC_2026_614328417_LEG0,PLK_IC_2026_614328417_LEG1,1
5256,5256,PLK_IC_2026_688606052_LEG0,PLK_IC_2026_688606052_LEG1,1
5256,5256,PLK_IC_2026_746497627_LEG0,PLK_IC_2026_746497627_LEG1,1
5256,5256,PLK_IC_2026_493678469_LEG0,PLK_IC_2026_493678469_LEG1,1
5256,5256,PLK_IC_2026_212694171_LEG0,PLK_IC_2026_212694171_LEG1,1
5256,5256,PLK_IC_2026_221180733_LEG0,PLK_IC_2026_221180733_LEG1,1
5256,5256,PLK_IC_2026_393666455_LEG0,PLK_IC_2026_393666455_LEG1,1
5256,5256,PLK_PR_2026_272332155_LEG0,PLK_PR_2026_272332155_LEG1,1
5256,5256,PLK_PR_2026_289067512_LEG0,PLK_PR_2026_289067512_LEG1,1
5256,5256,PLK_PR_2026_393839770_LEG0,PLK_PR_2026_393839770_LEG1,1
5256,5256,PLK_PR_2026_865383494_LEG0,PLK_PR_2026_865383494_LEG1,1
55806,55806,PLK_IC_2026_172740473_LEG0,PLK_IC_2026_172740473_LEG1,1
