stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,country,plk_secondary_id
46045,Tarchały Wielkie,51.58706466566,17.70158668221,0,,,,
46052,Odolanów,51.57471075171,17.66780762831,0,,,,
46060,Garki,51.54013724004,17.64865144048,0,,,,
46078,Granowiec,51.51178692856,17.64524125397,0,,,,
46086,Sośnie Ostrowskie,51.47128851377,17.63944954233,0,,,,
46094,Pawłów Wielkopolski,51.42180331928,17.65475072024,0,,,,
46128,Międzybórz Sycowski,51.40103624019,17.65351483069,0,,,,
46136,Bukowina Sycowska,51.38812635243,17.58315323677,0,,,,
46201,Koźmin Wielkopolski,51.83210254689,17.44372536442,0,,,,
4622,Ciecholub,54.1728728096,16.88788148213,0,,,,
46227,Obra Stara,51.88779677752,17.44930437302,0,,,,
46235,Golina,51.90679291003,17.45997378902,0,,,,
46243,Wolenice,51.76509420225,17.43715460846,0,,,,
46250,Bożacin,51.7326988153,17.43397291534,0,,,,
4630,Biesowice,54.19348449878,16.88794471329,0,,,,
46409,Łódź Widzew,51.76321082812,19.54318695347,0,,,,
46433,Łódź Niciarniana,51.76682560172,19.5074091136,0,,,,
